Timestamp,File,Folder,CurrentSizeMB,HistoryVersionsMB,TotalOriginalMB,VersionsFound,PolicyApplied,VersionsDeleted,SpaceSavedMB,FinalSizeMB
"2026-04-06 23:52:02","PASSWORD.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S","0.03","0.43","0.46","14","Retention 90 Days","10","0.30","0.16"
"2026-04-06 23:52:04","14 October 2023 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2023","0.51","3.25","3.75","8","Retention 365 Days","8","3.25","0.51"
"2026-04-06 23:52:04","20 Aug 22 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2022","0.25","3.69","3.94","10","Retention 365 Days","10","3.69","0.25"
"2026-04-06 23:52:04","17 Dec 2023 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2023","0.26","0.26","0.52","1","Retention 365 Days","1","0.26","0.26"
"2026-04-06 23:52:05","4 August 2024 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2024","0.52","1.30","1.83","4","Retention 365 Days","4","1.30","0.52"
"2026-04-06 23:52:05","13  Dec 2022 - EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2022","0.27","0.79","1.06","3","Retention 365 Days","3","0.79","0.27"
"2026-04-06 23:52:06","22 December 2024 Guest Room Inspection List .xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2024","0.03","0.06","0.09","2","Retention 365 Days","2","0.06","0.03"
"2026-04-06 23:52:07","20 Aug 22 EOD Chalida-W-AA-H6323-RM.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2022","0.25","0.98","1.23","4","Retention 365 Days","4","0.98","0.25"
"2026-04-06 23:52:07","05 August 2023 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2023","0.34","6.23","6.58","7","Retention 365 Days","7","6.23","0.34"
"2026-04-06 23:52:07","1 June  2024  EOD Chalida..xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2024","0.40","1.24","1.64","4","Retention 365 Days","4","1.24","0.40"
"2026-04-06 23:52:09","20 April  2025 EOD Chalida .xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2025","0.81","1.52","2.33","2","Retention 365 Days","2","1.52","0.81"
"2026-04-06 23:52:09","22 December 2024 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2024","0.71","2.78","3.49","4","Retention 365 Days","4","2.78","0.71"
"2026-04-06 23:52:09","17 Apr 2023 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2023","0.45","55.58","56.03","6","Retention 365 Days","6","55.58","0.45"
"2026-04-06 23:52:10","22 November 2025 Guest Room Inspection List.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2025","0.03","0.33","0.36","6","Retention 90 Days","2","0.20","0.16"
"2026-04-06 23:52:10","20 April 2024  EOD Chalida .xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2024","0.33","0.66","0.99","2","Retention 365 Days","2","0.66","0.33"
"2026-04-06 23:52:11","8 February 2025 Guest Room Inspection List .xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2025","0.16","0.03","0.19","1","Retention 365 Days","1","0.03","0.16"
"2026-04-06 23:52:11","19-02-23 - EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2023","0.22","2.00","2.22","3","Retention 365 Days","3","2.00","0.22"
"2026-04-06 23:52:12","3 February 2024  EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2024","0.39","0.82","1.21","4","Retention 365 Days","4","0.82","0.39"
"2026-04-06 23:52:12","8 February 2025 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2025","0.72","1.97","2.69","3","Retention 365 Days","3","1.97","0.72"
"2026-04-06 23:52:13","Thai Tiew Thai Breakdown .xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.02","0.02","0.04","1","Retention 365 Days","1","0.02","0.02"
"2026-04-06 23:52:13","20 April 2025 Guest Room Inspection List.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2025","0.30","0.19","0.48","2","Retention 365 Days","2","0.19","0.30"
"2026-04-06 23:52:14","ROOM BREAKDOWN Chef Nat.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Breakdown","0.02","0.05","0.07","2","Retention 365 Days","2","0.05","0.02"
"2026-04-06 23:52:15","22 November 2025 EOD Chalida.xlsx","/sites/H6323_SPOF/DPT-RM/EOD/2025","0.57","2.50","3.08","7","Retention 90 Days","3","0.81","2.27"
"2026-04-06 23:52:17","Rate  & Room Size Comparison 2024.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.02","0.02","0.04","1","Retention 365 Days","1","0.02","0.02"
